bin,cl,Drosophila_sim_WXD1_downSmpld_bk,skmer_dist_change_bk_closer_pair,ucseq_Drosophila_sim_WXD1_downSmpld,skmer_dist_change_ak_closer_pair,ucseq_Drosophila_sim_WXD1_downSmpld,skmer_dist_change_ak_closer_pair,ucseq_Drosophila_sim_WXD1_downSmpld,skmer_dist_change_ak_closer_pair,ucseq_Drosophila_sim_WXD1_downSmpld,skmer_dist_change_ak_closer_pair,Dros_sech_plant_bk,skmer_dist_change_bk,ucseq_Dros_sech_plant,skmer_dist_change_ak,ucseq_Dros_sech_plant,,ucseq_Dros_sech_plant,,ucseq_Dros_sech_plant,,Drosophila_yakuba_downSmpld,,ucseq_Drosophila_yakuba_downSmpld,,ucseq_Drosophila_yakuba_downSmpld,,ucseq_Drosophila_yakuba_downSmpld,,ucseq_Drosophila_yakuba_downSmpld,
00-05,60,0.021406951,2.065139551,0.003957146,-0.433398793,0.003849427,-0.448822383,0.004340112,-0.378564075,0.00423228,-0.394003938,0.040148601,0.53531206,0.022901786,-0.124218852,0.022772124,-0.129177228,0.023950125,-0.084129602,0.024198894,-0.074616461,0.081262185,0.202787933,0.065472922,-0.030914066,0.065607277,-0.028925433,0.06884435,0.01898753,0.069430373,0.027661453
00-05,50,0.015437019,1.210338891,0.002927775,-0.580788533,0.002856264,-0.591027747,0.003179809,-0.544701284,0.00320668,-0.540853723,0.034461883,0.317847767,0.022081025,-0.155605356,0.022010814,-0.158290262,0.023105548,-0.116426811,0.023346269,-0.107221468,0.075416745,0.116267684,0.064207545,-0.049643317,0.064384466,-0.047024658,0.067398737,-0.002409453,0.067896514,0.004958311
00-05,40,0.010954114,0.568457188,0.002387722,-0.658115612,0.002342083,-0.664650487,0.002785104,-0.601216854,0.002623295,-0.624385317,0.030047966,0.149056341,0.021565544,-0.175317721,0.021521292,-0.177009931,0.022622614,-0.134894574,0.022797269,-0.12821564,0.071349759,0.056070907,0.063773876,-0.056062193,0.063989982,-0.05286354,0.067115254,-0.006605374,0.067458335,-0.001527327
00-05,30,0.007431677,0.064099503,0.002101439,-0.699106945,0.002083923,-0.701614918,0.002408902,-0.65508309,0.002341642,-0.664713598,0.026610641,0.017610494,0.021330182,-0.18431815,0.02131279,-0.184983205,0.022461026,-0.141073823,0.022675194,-0.132883897,0.067923115,0.005352029,0.063351448,-0.062314688,0.063545087,-0.059448582,0.066574309,-0.014612079,0.067141598,-0.006215448
00-05,25,0.005931698,-0.150673858,0.002051959,-0.706191722,0.002021005,-0.710623824,0.002445732,-0.649809564,0.002343551,-0.664440239,0.025123941,-0.039242005,0.021273123,-0.186500109,0.021253296,-0.187258311,0.022400856,-0.143374771,0.022572237,-0.136821046,0.066569567,-0.014682263,0.063352705,-0.062296088,0.063545129,-0.059447951,0.06668322,-0.013000058,0.067106341,-0.006737295
00-05,20,0.004581235,-0.344039017,0.001992922,-0.714644819,0.001992112,-0.714760853,0.002354193,-0.662916542,0.002279551,-0.67360401,0.023850823,-0.087926949,0.021269759,-0.186628745,0.021279955,-0.186238831,0.022426545,-0.142392401,0.02261283,-0.135268714,0.06525322,-0.03416595,0.063229727,-0.064116321,0.063414698,-0.061378501,0.066603617,-0.014178289,0.066860773,-0.010372035
00-05,15,0.003468368,-0.503384176,0.001931549,-0.723432433,0.001916503,-0.725586903,0.002323691,-0.667283866,0.002184562,-0.687204945,0.022742287,-0.130318196,0.021229921,-0.188152194,0.021223606,-0.188393689,0.022421256,-0.142594668,0.022513747,-0.139057741,0.064228282,-0.049336385,0.063213311,-0.064359295,0.063408406,-0.061471642,0.06661952,-0.013942895,0.066911871,-0.009615715
00-05,10,0.002633814,-0.622879225,0.001911533,-0.726298472,0.001908056,-0.726796315,0.002287538,-0.672460513,0.002151777,-0.691899248,0.021929425,-0.161402653,0.021237305,-0.18786982,0.021236575,-0.187897747,0.022421137,-0.142599228,0.0225724,-0.136814787,0.063398952,-0.061611563,0.063130529,-0.065584587,0.0633415,-0.06246193,0.066471204,-0.016138163,0.066804523,-0.011204613
00-05,5,0.002119784,-0.696480222,0.001909871,-0.726536459,0.001907398,-0.726890463,0.00228041,-0.673481121,0.002149181,-0.692270979,0.021416711,-0.181009186,0.021251328,-0.18733355,0.021249309,-0.187410787,0.022419268,-0.142670675,0.022583712,-0.136382241,0.062898372,-0.069020818,0.063089484,-0.066192096,0.063305133,-0.063000215,0.066411071,-0.017028223,0.066741743,-0.012133837
00-05,2,0.001973144,-0.717476778,0.00191973,-0.72512483,0.001915305,-0.725758304,0.002287552,-0.672458398,0.002188771,-0.686602387,0.021250394,-0.187369271,0.021252699,-0.187281136,0.021253543,-0.187248857,0.022434683,-0.142081188,0.02262405,-0.134839661,0.062729103,-0.071526224,0.063070759,-0.066469265,0.063287451,-0.063261924,0.066422703,-0.016856042,0.066823547,-0.010923022
00-05,1,0.001948023,-0.721073661,0.001931432,-0.723449197,0.001932877,-0.723242365,0.002298141,-0.67094227,0.002192345,-0.686090658,0.021231781,-0.188081076,0.021271009,-0.186580964,0.021276397,-0.186374906,0.022476565,-0.140479598,0.022641124,-0.134186753,0.062707626,-0.071844109,0.063073534,-0.066428178,0.063296105,-0.063133841,0.066430457,-0.016741273,0.066804703,-0.011201948
00-05,0,0.001933919,-0.723093176,0.00193371,-0.72312301,0.001933052,-0.723217239,0.002286099,-0.672666549,0.002190159,-0.686403625,0.021215276,-0.188712232,0.021274834,-0.186434671,0.021274266,-0.186456385,0.022452153,-0.141413129,0.022628222,-0.134680125,0.062705933,-0.071869161,0.063076267,-0.066387737,0.063300354,-0.063070955,0.066420419,-0.016889847,0.066785678,-0.011483543
00-00,25,0.006984005,0.003317278,0.001831558,-0.736879623,0.001814815,-0.739284994,0.0022499,-0.676781026,0.002141324,-0.692378941,0.026150124,0.000940969,0.021055324,-0.194071247,0.021043134,-0.194537866,0.022194223,-0.150477928,0.022364615,-0.143955898,0.067561523,0.000365454,0.063140553,-0.06509468,0.063347149,-0.062035668,0.066490738,-0.015489374,0.066919926,-0.009134508
00-00,20,0.005445228,-0.217742352,0.001856908,-0.733237913,0.00186336,-0.732310985,0.002227678,-0.679973308,0.002152577,-0.690762368,0.024697598,-0.054656954,0.021129678,-0.191225217,0.021144236,-0.190667989,0.022294588,-0.146636284,0.022477927,-0.139618669,0.066080908,-0.021557626,0.063098549,-0.065716615,0.063289344,-0.062891572,0.066477813,-0.015680754,0.066744588,-0.011730694
00-00,15,0.004061098,-0.416585556,0.001850581,-0.734146832,0.001842228,-0.735346776,0.002252398,-0.676422057,0.002116277,-0.695977096,0.023326223,-0.107148681,0.021147129,-0.190557264,0.021149509,-0.190466171,0.022344144,-0.144739459,0.022442633,-0.140969626,0.06479919,-0.040535685,0.063149253,-0.064965856,0.063340939,-0.062127616,0.066552003,-0.014582245,0.066853795,-0.010113685
00-00,10,0.002911352,-0.581757286,0.001871866,-0.731089087,0.001870277,-0.731317279,0.002249147,-0.67688907,0.002115757,-0.696051775,0.022201918,-0.15018339,0.021192861,-0.188806804,0.021196004,-0.188686477,0.02238041,-0.143351308,0.02253,-0.137625495,0.063663781,-0.057347381,0.063099989,-0.065695289,0.063303338,-0.062684358,0.066434287,-0.016325232,0.066775081,-0.011279194
00-00,5,0.00219623,-0.684491207,0.001899871,-0.727065845,0.001896992,-0.727479416,0.002269459,-0.673971073,0.002138922,-0.692724049,0.021493003,-0.177318344,0.021239868,-0.187007524,0.021239296,-0.187029417,0.022408056,-0.142293133,0.022573289,-0.135968533,0.062969723,-0.067624101,0.063076298,-0.066046088,0.063296078,-0.062791858,0.06640075,-0.016821809,0.066733044,-0.011901622
