bin,CL,Dist,Before,BeforeError,After,AfterError
0-5,60,D=2%,0.040148601,0.892438319,0.022901786,0.076473046
0-5,50,D=2%,0.034461883,0.624390037,0.022081025,0.037894086
0-5,40,D=2%,0.030047966,0.416336331,0.021565544,0.013664484
0-5,30,D=2%,0.026610641,0.254315096,0.021330182,0.002601537
0-5,25,D=2%,0.025123941,0.184238236,0.021273123,-8.04335E-05
0-5,20,D=2%,0.023850823,0.124228772,0.021269759,-0.000238547
0-5,15,D=2%,0.022742287,0.07197697,0.021229921,-0.002111106
0-5,10,D=2%,0.021929425,0.033662012,0.021237305,-0.001764024
0-5,5,D=2%,0.021416711,0.009494839,0.021251328,-0.001104864
0-5,2,D=2%,0.021250394,0.001655345,0.021252699,-0.00104044
0-5,1,D=2%,0.021231781,0.000777968,0.021271009,-0.000179817
0-5,0,D=2%,0.021215276,0,0.021274834,0
0-0,25,D=2%,0.026150124,0.232608255,0.021055324,-0.010317816
0-0,20,D=2%,0.024697598,0.16414222,0.021129678,-0.006822886
0-0,15,D=2%,0.023326223,0.09950131,0.021147129,-0.006002637
0-0,10,D=2%,0.022201918,0.046506239,0.021192861,-0.003853069
0-0,5,D=2%,0.021493003,0.013090912,0.021239868,-0.001643549
0-0,2,D=2%,0.021262098,0.002206987,0.021250167,-0.00115944
0-0,1,D=2%,0.02123743,0.001044244,0.021270252,-0.000215384
0-0,0,D=2%,0.021215276,0,0.021274834,0
5-15,25,D=2%,0.026125541,0.231449499,0.023085646,0.085115216
5-15,20,D=2%,0.024663535,0.162536623,0.022486399,0.056948235
5-15,15,D=2%,0.023303507,0.098430561,0.021960676,0.032237249
5-15,10,D=2%,0.022195388,0.046198413,0.021577686,0.014235203
5-15,5,D=2%,0.021496787,0.013269277,0.021354708,0.003754381
5-15,2,D=2%,0.021262982,0.002248652,0.021276228,6.55217E-05
5-15,1,D=2%,0.021235296,0.000943677,0.021281976,0.000335687
5-15,0,D=2%,0.021215276,0,0.021274834,0
15-25,25,D=2%,0.026218949,0.235852373,0.025334966,0.190841998
15-25,20,D=2%,0.024766792,0.167403724,0.024113549,0.133430627
15-25,15,D=2%,0.023370553,0.101590813,0.022965261,0.079456631
15-25,10,D=2%,0.022248209,0.048688205,0.022071454,0.037444207
15-25,5,D=2%,0.021508601,0.013826133,0.021501023,0.010631739
15-25,2,D=2%,0.021267072,0.002441459,0.021309174,0.001614102
15-25,1,D=2%,0.021237485,0.001046849,0.021295194,0.000956992
15-25,0,D=2%,0.021215276,0,0.021274834,0
0-5,60,D=0.2%,0.021406951,10.06920915,0.003957146,1.046400486
0-5,50,D=0.2%,0.015437019,6.982247812,0.002927775,0.514071165
0-5,40,D=0.2%,0.010954114,4.664205615,0.002387722,0.23478801
0-5,30,D=0.2%,0.007431677,2.842807076,0.002101439,0.086739113
0-5,25,D=0.2%,0.005931698,2.067191083,0.002051959,0.06115094
0-5,20,D=0.2%,0.004581235,1.368887026,0.001992922,0.030620784
0-5,15,D=0.2%,0.003468368,0.793440178,0.001931549,-0.001117547
0-5,10,D=0.2%,0.002633814,0.361904951,0.001911533,-0.011468855
0-5,5,D=0.2%,0.002119784,0.096107973,0.001909871,-0.012328396
0-5,2,D=0.2%,0.001973144,0.020282626,0.00191973,-0.007229999
0-5,1,D=0.2%,0.001948023,0.007293121,0.001931432,-0.001178096
0-5,0,D=0.2%,0.001933919,0,0.00193371,0
0-0,25,D=0.2%,0.006984005,2.611323062,0.001831558,-0.052826965
0-0,20,D=0.2%,0.005445228,1.815644808,0.001856908,-0.039717643
0-0,15,D=0.2%,0.004061098,1.099931978,0.001850581,-0.042989544
0-0,10,D=0.2%,0.002911352,0.505415675,0.001871866,-0.03198236
0-0,5,D=0.2%,0.00219623,0.135636956,0.001899871,-0.017499614
0-0,2,D=0.2%,0.001985133,0.026482207,0.001916612,-0.008842165
0-0,1,D=0.2%,0.001953076,0.009906015,0.001929673,-0.002087989
0-0,0,D=0.2%,0.001933919,0,0.00193371,0
5-15,25,D=0.2%,0.006960914,2.599382908,0.003859288,0.995794149
5-15,20,D=0.2%,0.005412172,1.798551726,0.003193085,0.651273579
5-15,15,D=0.2%,0.004038624,1.088311261,0.002651658,0.371280021
5-15,10,D=0.2%,0.002904186,0.501710432,0.002243592,0.160252179
5-15,5,D=0.2%,0.002199336,0.137243451,0.002010314,0.039614664
5-15,2,D=0.2%,0.001986026,0.026943877,0.001940782,0.003657018
5-15,1,D=0.2%,0.001951613,0.009149513,0.001938638,0.002548017
5-15,0,D=0.2%,0.001933919,0,0.00193371,0
15-25,25,D=0.2%,0.007055547,2.648316171,0.006113992,2.161793227
15-25,20,D=0.2%,0.005517467,1.852998275,0.004819923,1.492577499
15-25,15,D=0.2%,0.004107228,1.123784925,0.003651041,0.888101143
15-25,10,D=0.2%,0.002957815,0.529441118,0.002730298,0.41194759
15-25,5,D=0.2%,0.002212017,0.143800584,0.002151972,0.112871931
15-25,2,D=0.2%,0.001990353,0.02918143,0.00197268,0.020152974
15-25,1,D=0.2%,0.001953692,0.010224589,0.001949603,0.008218884
15-25,0,D=0.2%,0.001933919,0,0.00193371,0
