s1,s2,fna_dist,bk_no_clean_up,ak_no_clean_up,bk_cleaned,ak_cleaned
Drosophila_ananassae,Drosophila_ananassae,0,0,0,0,0
Drosophila_biarmipes,Drosophila_ananassae,0.122385255,0.110354807,0.109153883,0.110346793,0.109154742
Drosophila_bipectinata,Drosophila_ananassae,0.069793176,0.066442082,0.064483514,0.066417251,0.064449376
Drosophila_erecta,Drosophila_ananassae,0.123016457,0.124462229,0.124541336,0.12445371,0.124513076
Drosophila_eugracilis,Drosophila_ananassae,0.118637664,0.111469005,0.112121401,0.11145401,0.112113106
Drosophila_mauritiana,Drosophila_ananassae,0.121489162,0.121948746,0.12351337,0.121931767,0.123483925
Drosophila_mojavensis,Drosophila_ananassae,0.165416263,0.162329554,0.167537012,0.162290863,0.16750588
Drosophila_persimilis,Drosophila_ananassae,0.138042171,0.135749696,0.140393682,0.135720419,0.140362437
Drosophila_pseudoobscura,Drosophila_ananassae,0.137791712,0.140340288,0.143566296,0.140319526,0.143530956
Drosophila_sechellia,Drosophila_ananassae,0.121300308,0.105041184,0.124788593,0.10499581,0.124760355
Drosophila_simulans,Drosophila_ananassae,0.120867333,0.123053104,0.122834444,0.123006074,0.12279708
Drosophila_virilis,Drosophila_ananassae,0.163554656,0.145094065,0.164067558,0.145073124,0.164027732
Drosophila_willistoni,Drosophila_ananassae,0.160456145,0.151648177,0.158824745,0.151601979,0.158782326
Drosophila_yakuba,Drosophila_ananassae,0.123644541,0.124715464,0.125186712,0.124706503,0.125172811
Drosophila_ananassae,Drosophila_biarmipes,0.122385255,0.110354807,0.109153883,0.110346793,0.109154742
Drosophila_biarmipes,Drosophila_biarmipes,0,0,0,0,0
Drosophila_bipectinata,Drosophila_biarmipes,0.121799424,0.106755805,0.107484844,0.10671362,0.107444414
Drosophila_erecta,Drosophila_biarmipes,0.09853436,0.097504468,0.098935499,0.097493051,0.098921628
Drosophila_eugracilis,Drosophila_biarmipes,0.094439092,0.089500329,0.090684951,0.089488921,0.090676969
Drosophila_mauritiana,Drosophila_biarmipes,0.096407612,0.095594348,0.09695515,0.095575777,0.096938133
Drosophila_mojavensis,Drosophila_biarmipes,0.165539067,0.15994948,0.165912779,0.159902158,0.165871846
Drosophila_persimilis,Drosophila_biarmipes,0.136456693,0.13488619,0.140049248,0.134842865,0.140004069
Drosophila_pseudoobscura,Drosophila_biarmipes,0.136143953,0.135937371,0.139373848,0.135912286,0.139353728
Drosophila_sechellia,Drosophila_biarmipes,0.098150964,0.098125688,0.09945927,0.098093666,0.099415414
Drosophila_simulans,Drosophila_biarmipes,0.09589761,0.094809255,0.096129292,0.094794299,0.096114999
Drosophila_virilis,Drosophila_biarmipes,0.163325085,0.151245211,0.163220328,0.151196515,0.163186274
Drosophila_willistoni,Drosophila_biarmipes,0.161127995,0.152792786,0.159663318,0.152753593,0.159624341
Drosophila_yakuba,Drosophila_biarmipes,0.099188513,0.09865707,0.100211655,0.098633567,0.100188651
Drosophila_ananassae,Drosophila_bipectinata,0.069793176,0.066442082,0.064483514,0.066417251,0.064449376
Drosophila_biarmipes,Drosophila_bipectinata,0.121799424,0.106755805,0.107484844,0.10671362,0.107444414
Drosophila_bipectinata,Drosophila_bipectinata,0,0,0,0,0
Drosophila_erecta,Drosophila_bipectinata,0.123456883,0.113008547,0.115526825,0.112974839,0.11548801
Drosophila_eugracilis,Drosophila_bipectinata,0.118106578,0.088746321,0.106676165,0.088717541,0.106644141
Drosophila_mauritiana,Drosophila_bipectinata,0.119579046,0.102953921,0.119867207,0.102908372,0.119826154
Drosophila_mojavensis,Drosophila_bipectinata,0.154086953,0.151301274,0.166799345,0.151246047,0.166745745
Drosophila_persimilis,Drosophila_bipectinata,0.138629491,0.102636129,0.127005027,0.102602625,0.126955269
Drosophila_pseudoobscura,Drosophila_bipectinata,0.138358239,0.126648181,0.140817013,0.126610594,0.140751556
