bin,TP,FN,FP,TN,precision,recall,FPR,bin_mean,bin_min,bin_max,bin_size,experiment,k,l,s,confidence_level,masking,classifier
0,66664407,2263,53974055,12692615,0.5525966254443794,0.9999660550016972,0.8096107845194608,0.0,0.0,0.0,10,variable_conf,27,27,6,0.0,unmasked,k=27 conf=0.0
1,106608011,6725328,53974055,12692615,0.6638849135245277,0.9406588735552917,0.8096107845194608,0.0035288890588235297,0.00014350299999999998,0.00916565,17,variable_conf,27,27,6,0.0,unmasked,k=27 conf=0.0
2,65080963,1585707,53974055,12692615,0.5466461144880093,0.9762143961892802,0.8096107845194608,0.01330993,0.0101878,0.0177122,10,variable_conf,27,27,6,0.0,unmasked,k=27 conf=0.0
3,51757305,1576031,53974055,12692615,0.4895170647573246,0.9704494202275291,0.8096107845194608,0.02454185,0.0200167,0.029517900000000007,8,variable_conf,27,27,6,0.0,unmasked,k=27 conf=0.0
4,51210285,2123051,53974055,12692615,0.4868622553509391,0.9601927957403602,0.8096107845194608,0.037567175,0.030677,0.0494626,8,variable_conf,27,27,6,0.0,unmasked,k=27 conf=0.0
5,49194766,4138570,53974055,12692615,0.4768375321454919,0.9224018163799091,0.8096107845194608,0.08356630000000001,0.057671000000000014,0.0987984,8,variable_conf,27,27,6,0.0,unmasked,k=27 conf=0.0
6,65480374,7852963,53974055,12692615,0.5481619605749403,0.8929141462633836,0.8096107845194608,0.12374136363636362,0.109331,0.145727,11,variable_conf,27,27,6,0.0,unmasked,k=27 conf=0.0
7,33631898,6368104,53974055,12692615,0.3838996877301249,0.8407974079601296,0.8096107845194608,0.17552316666666667,0.156619,0.197292,6,variable_conf,27,27,6,0.0,unmasked,k=27 conf=0.0
8,57418577,15914760,53974055,12692615,0.5154611752059148,0.7829805563055177,0.8096107845194608,0.22937800000000003,0.210897,0.243761,11,variable_conf,27,27,6,0.0,unmasked,k=27 conf=0.0
9,113145483,26854524,53974055,12692615,0.6770332443116256,0.8081819810194724,0.8096107845194608,0.7286633333333332,0.263022,1.0,21,variable_conf,27,27,6,0.0,unmasked,k=27 conf=0.0
0,66664334,2336,12324611,54342059,0.8439704315584922,0.9999649600017521,0.18486915575654225,0.0,0.0,0.0,10,variable_conf,27,27,6,0.05,unmasked,k=27 conf=0.05
1,105024657,8308682,12324611,54342059,0.8949749648204026,0.9266881036655948,0.18486915575654225,0.0035288890588235297,0.00014350299999999998,0.00916565,17,variable_conf,27,27,6,0.05,unmasked,k=27 conf=0.05
2,62144499,4522171,12324611,54342059,0.8345003586050646,0.932167438391628,0.18486915575654225,0.01330993,0.0101878,0.0177122,10,variable_conf,27,27,6,0.05,unmasked,k=27 conf=0.05
3,47055756,6277580,12324611,54342059,0.7924463653112821,0.8822953808852309,0.18486915575654225,0.02454185,0.0200167,0.029517900000000007,8,variable_conf,27,27,6,0.05,unmasked,k=27 conf=0.05
4,47135811,6197525,12324611,54342059,0.7927258067559628,0.8837964120601794,0.18486915575654225,0.037567175,0.030677,0.0494626,8,variable_conf,27,27,6,0.05,unmasked,k=27 conf=0.05
5,36490690,16842646,12324611,54342059,0.7475256579898996,0.6842004032899799,0.18486915575654225,0.08356630000000001,0.057671000000000014,0.0987984,8,variable_conf,27,27,6,0.05,unmasked,k=27 conf=0.05
6,42891336,30442001,12324611,54342059,0.7767925450957129,0.5848818253013632,0.18486915575654225,0.12374136363636362,0.109331,0.145727,11,variable_conf,27,27,6,0.05,unmasked,k=27 conf=0.05
7,15417162,24582840,12324611,54342059,0.5557381642478294,0.3854290307285485,0.18486915575654225,0.17552316666666667,0.156619,0.197292,6,variable_conf,27,27,6,0.05,unmasked,k=27 conf=0.05
8,16338717,56994620,12324611,54342059,0.5700216318216782,0.2228006752236026,0.18486915575654225,0.22937800000000003,0.210897,0.243761,11,variable_conf,27,27,6,0.05,unmasked,k=27 conf=0.05
9,30893870,109106137,12324611,54342059,0.7148300746618096,0.2206704889664756,0.18486915575654225,0.7286633333333332,0.263022,1.0,21,variable_conf,27,27,6,0.05,unmasked,k=27 conf=0.05
0,66664248,2422,4272463,62394207,0.93977077679849,0.9999636700018164,0.06408694179565291,0.0,0.0,0.0,10,variable_conf,27,27,6,0.1,unmasked,k=27 conf=0.1
1,104719698,8613641,4272463,62394207,0.9608002725994212,0.9239972890942532,0.06408694179565291,0.0035288890588235297,0.00014350299999999998,0.00916565,17,variable_conf,27,27,6,0.1,unmasked,k=27 conf=0.1
2,61430616,5236054,4272463,62394207,0.9349731692178384,0.9214591939270405,0.06408694179565291,0.01330993,0.0101878,0.0177122,10,variable_conf,27,27,6,0.1,unmasked,k=27 conf=0.1
3,45567394,7765942,4272463,62394207,0.9142761786013952,0.8543885947805703,0.06408694179565291,0.02454185,0.0200167,0.029517900000000007,8,variable_conf,27,27,6,0.1,unmasked,k=27 conf=0.1
4,45385752,7947584,4272463,62394207,0.9139626142421752,0.8509828074508596,0.06408694179565291,0.037567175,0.030677,0.0494626,8,variable_conf,27,27,6,0.1,unmasked,k=27 conf=0.1
5,29460232,23873104,4272463,62394207,0.8733435617877552,0.5523793223810339,0.06408694179565291,0.08356630000000001,0.057671000000000014,0.0987984,8,variable_conf,27,27,6,0.1,unmasked,k=27 conf=0.1
6,30088027,43245310,4272463,62394207,0.875657681249598,0.4102912567581644,0.06408694179565291,0.12374136363636362,0.109331,0.145727,11,variable_conf,27,27,6,0.1,unmasked,k=27 conf=0.1
7,8636676,31363326,4272463,62394207,0.6690357892962497,0.21591688920415555,0.06408694179565291,0.17552316666666667,0.156619,0.197292,6,variable_conf,27,27,6,0.1,unmasked,k=27 conf=0.1
8,7687532,65645805,4272463,62394207,0.6427705028304778,0.10482997657668297,0.06408694179565291,0.22937800000000003,0.210897,0.243761,11,variable_conf,27,27,6,0.1,unmasked,k=27 conf=0.1
9,10583635,129416372,4272463,62394207,0.7124101496907196,0.0755973890772734,0.06408694179565291,0.7286633333333332,0.263022,1.0,21,variable_conf,27,27,6,0.1,unmasked,k=27 conf=0.1
0,66664167,2503,1810325,64856345,0.9735620528590412,0.9999624550018772,0.027154873642256317,0.0,0.0,0.0,10,variable_conf,27,27,6,0.15,unmasked,k=27 conf=0.15
1,104544008,8789331,1810325,64856345,0.9829783615868288,0.9224470832894104,0.027154873642256317,0.0035288890588235297,0.00014350299999999998,0.00916565,17,variable_conf,27,27,6,0.15,unmasked,k=27 conf=0.15
2,61054744,5611926,1810325,64856345,0.971203006235466,0.9158211142089444,0.027154873642256317,0.01330993,0.0101878,0.0177122,10,variable_conf,27,27,6,0.15,unmasked,k=27 conf=0.15
3,44871360,8461976,1810325,64856345,0.9612198017273798,0.8413379579331021,0.027154873642256317,0.02454185,0.0200167,0.029517900000000007,8,variable_conf,27,27,6,0.15,unmasked,k=27 conf=0.15
4,44058765,9274571,1810325,64856345,0.9605327901643568,0.8261018024449098,0.027154873642256317,0.037567175,0.030677,0.0494626,8,variable_conf,27,27,6,0.15,unmasked,k=27 conf=0.15
5,24519370,28813966,1810325,64856345,0.9312439813678054,0.4597381645130918,0.027154873642256317,0.08356630000000001,0.057671000000000014,0.0987984,8,variable_conf,27,27,6,0.15,unmasked,k=27 conf=0.15
6,21812070,51521267,1810325,64856345,0.923364036542442,0.297437303309953,0.027154873642256317,0.12374136363636362,0.109331,0.145727,11,variable_conf,27,27,6,0.15,unmasked,k=27 conf=0.15
7,5595340,34404662,1810325,64856345,0.7555486239250627,0.13988349300582534,0.027154873642256317,0.17552316666666667,0.156619,0.197292,6,variable_conf,27,27,6,0.15,unmasked,k=27 conf=0.15
8,4585150,68748187,1810325,64856345,0.7169365840692051,0.06252476960103424,0.027154873642256317,0.22937800000000003,0.210897,0.243761,11,variable_conf,27,27,6,0.15,unmasked,k=27 conf=0.15
9,4378744,135621263,1810325,64856345,0.7074963940456958,0.031276741293305786,0.027154873642256317,0.7286633333333332,0.263022,1.0,21,variable_conf,27,27,6,0.15,unmasked,k=27 conf=0.15
0,66663918,2752,842043,65824627,0.987526390447208,0.9999587200020641,0.01263064436846778,0.0,0.0,0.0,10,variable_conf,27,27,6,0.2,unmasked,k=27 conf=0.2
1,104392643,8940696,842043,65824627,0.9919984272105872,0.9211115098267776,0.01263064436846778,0.0035288890588235297,0.00014350299999999998,0.00916565,17,variable_conf,27,27,6,0.2,unmasked,k=27 conf=0.2
2,60772488,5894182,842043,65824627,0.9863336945630568,0.9115872744206364,0.01263064436846778,0.01330993,0.0101878,0.0177122,10,variable_conf,27,27,6,0.2,unmasked,k=27 conf=0.2
3,44405358,8927978,842043,65824627,0.9813902460386621,0.832600420869979,0.01263064436846778,0.02454185,0.0200167,0.029517900000000007,8,variable_conf,27,27,6,0.2,unmasked,k=27 conf=0.2
4,42735644,10597692,842043,65824627,0.9806771984020172,0.8012932849353358,0.01263064436846778,0.037567175,0.030677,0.0494626,8,variable_conf,27,27,6,0.2,unmasked,k=27 conf=0.2
5,20538036,32795300,842043,65824627,0.9606155337405442,0.3850881557455922,0.01263064436846778,0.08356630000000001,0.057671000000000014,0.0987984,8,variable_conf,27,27,6,0.2,unmasked,k=27 conf=0.2
6,16101373,57231964,842043,65824627,0.9503026426312144,0.21956416629451894,0.01263064436846778,0.12374136363636362,0.109331,0.145727,11,variable_conf,27,27,6,0.2,unmasked,k=27 conf=0.2
7,3931731,36068271,842043,65824627,0.8236106275663657,0.09829327008533648,0.01263064436846778,0.17552316666666667,0.156619,0.197292,6,variable_conf,27,27,6,0.2,unmasked,k=27 conf=0.2
8,3093274,70240063,842043,65824627,0.7860291813848795,0.04218100698185874,0.01263064436846778,0.22937800000000003,0.210897,0.243761,11,variable_conf,27,27,6,0.2,unmasked,k=27 conf=0.2
9,2217526,137782481,842043,65824627,0.7247837849056518,0.015839470636597897,0.01263064436846778,0.7286633333333332,0.263022,1.0,21,variable_conf,27,27,6,0.2,unmasked,k=27 conf=0.2
0,66663670,3000,180584,66486086,0.9972984364519948,0.9999550000022499,0.002708759864562007,0.0,0.0,0.0,10,variable_conf,27,27,6,0.3,unmasked,k=27 conf=0.3
1,104142996,9190343,180584,66486086,0.9982690011213188,0.9189087422898571,0.002708759864562007,0.0035288890588235297,0.00014350299999999998,0.00916565,17,variable_conf,27,27,6,0.3,unmasked,k=27 conf=0.3
2,60190267,6476403,180584,66486086,0.9970087551026902,0.902853959857302,0.002708759864562007,0.01330993,0.0101878,0.0177122,10,variable_conf,27,27,6,0.3,unmasked,k=27 conf=0.3
3,43480215,9853121,180584,66486086,0.9958639327695308,0.8152539904873005,0.002708759864562007,0.02454185,0.0200167,0.029517900000000007,8,variable_conf,27,27,6,0.3,unmasked,k=27 conf=0.3
4,39214518,14118818,180584,66486086,0.9954160798974452,0.7352721757363913,0.002708759864562007,0.037567175,0.030677,0.0494626,8,variable_conf,27,27,6,0.3,unmasked,k=27 conf=0.3
5,14044247,39289089,180584,66486086,0.9873050161369228,0.2633296180835191,0.002708759864562007,0.08356630000000001,0.057671000000000014,0.0987984,8,variable_conf,27,27,6,0.3,unmasked,k=27 conf=0.3
6,8562694,64770643,180584,66486086,0.9793459615489752,0.11676400325270893,0.002708759864562007,0.12374136363636362,0.109331,0.145727,11,variable_conf,27,27,6,0.3,unmasked,k=27 conf=0.3
7,2148410,37851592,180584,66486086,0.922462659843692,0.05371024731448763,0.002708759864562007,0.17552316666666667,0.156619,0.197292,6,variable_conf,27,27,6,0.3,unmasked,k=27 conf=0.3
8,1698078,71635259,180584,66486086,0.9038762693874683,0.02315560793312869,0.002708759864562007,0.22937800000000003,0.210897,0.243761,11,variable_conf,27,27,6,0.3,unmasked,k=27 conf=0.3
9,961651,139038356,180584,66486086,0.8419029359107364,0.006868935370838946,0.002708759864562007,0.7286633333333332,0.263022,1.0,21,variable_conf,27,27,6,0.3,unmasked,k=27 conf=0.3
0,66666556,114,35916196,30750474,0.6498807518831236,0.9999982900000856,0.5387429130628544,0.0,0.0,0.0,10,variable_conf,28,28,6,0.0,unmasked,k=28 conf=0.0
1,106078270,7255069,35916196,30750474,0.7470591846868173,0.9359846884948833,0.5387429130628544,0.0035288890588235297,0.00014350299999999998,0.00916565,17,variable_conf,28,28,6,0.0,unmasked,k=28 conf=0.0
2,64445027,2221643,35916196,30750474,0.6421307460551771,0.9666753566662322,0.5387429130628544,0.01330993,0.0101878,0.0177122,10,variable_conf,28,28,6,0.0,unmasked,k=28 conf=0.0
3,50287074,3046262,35916196,30750474,0.5833545989612691,0.9428825903558704,0.5387429130628544,0.02454185,0.0200167,0.029517900000000007,8,variable_conf,28,28,6,0.0,unmasked,k=28 conf=0.0
4,49988939,3344397,35916196,30750474,0.5819086251363205,0.9372925593853721,0.5387429130628544,0.037567175,0.030677,0.0494626,8,variable_conf,28,28,6,0.0,unmasked,k=28 conf=0.0
5,46361376,6971960,35916196,30750474,0.5634752566592509,0.8692757565362121,0.5387429130628544,0.08356630000000001,0.057671000000000014,0.0987984,8,variable_conf,28,28,6,0.0,unmasked,k=28 conf=0.0
6,60177582,13155755,35916196,30750474,0.6262380692327447,0.8206033498789234,0.5387429130628544,0.12374136363636362,0.109331,0.145727,11,variable_conf,28,28,6,0.0,unmasked,k=28 conf=0.0
