s2,s1,fna_dist,bk_no_clean_up,ak_no_clean_up,bk_cleaned,ak_cleaned,C_sequences_prct.y,C_sequences_prct.x,j_bk,wp_bk,zp_bk,d_bk,j_ucseq_ak,wp_ucseq_ak,zp_ucseq_ak,d_ucseq_ak,j_cseq_ak,wp_cseq_ak,zp_cseq_ak,d_cseq_ak
Drosophila_ananassae,Drosophila_ananassae,0,0,0,0,0,12.18,12.18,,,,,,,,,,,,
Drosophila_ananassae,Drosophila_biarmipes,0.122385255,0.110354807,0.109153883,0.110346793,0.109154742,12.18,5.74,0.003717,12358261.17,88965023.83,0.110346793,0.0036058,10537413.67,81501577.12,0.109154742,0.002227423,980635.1172,7810128.738,0.122022358
Drosophila_ananassae,Drosophila_bipectinata,0.069793176,0.066442082,0.064483514,0.066417251,0.064449376,12.18,10.4,0.015435,11161927.25,87221196.37,0.066417251,0.0152057,9190668.152,77800214.44,0.064449376,0.006496651,1526724.85,9746053.876,0.097762625
Drosophila_ananassae,Drosophila_erecta,0.123016457,0.124462229,0.124541336,0.12445371,0.124513076,12.18,6.03,0.0025289,13638402.23,87817527.98,0.12445371,0.0023327,11534593.51,80333167.49,0.124513076,0.001765862,1115482.77,7950322.288,0.131677525
Drosophila_ananassae,Drosophila_eugracilis,0.118637664,0.111469005,0.112121401,0.11145401,0.112113106,12.18,9.07,0.0034261,11592049.22,87080882.6,0.11145401,0.0030914,9600838.548,78087491.98,0.112113106,0.003470309,1370319.471,9368239.43,0.113785803
Drosophila_ananassae,Drosophila_mauritiana,0.121489162,0.121948746,0.12351337,0.121931767,0.123483925,12.18,6.61,0.0027113,12984327.9,85269562.18,0.121931767,0.0023829,10981197.28,77648660.41,0.123483925,0.003232558,1157186.898,8003581.29,0.115474209
Drosophila_ananassae,Drosophila_mojavensis,0.165416263,0.162329554,0.167537012,0.162290863,0.16750588,12.18,14.44,0.0005972,12703909.53,87895715.78,0.162290863,0.0004446,9924611.639,75989488.32,0.16750588,0.0009419,2247936.648,12763454.91,0.155299825
Drosophila_ananassae,Drosophila_persimilis,0.138042171,0.135749696,0.140393682,0.135720419,0.140362437,12.18,9.04,0.0014642,11472696.04,85306545.37,0.135720419,0.0011523,9557059.155,76389870.36,0.140362437,0.00260923,1336749.526,9312378.121,0.12134361
Drosophila_ananassae,Drosophila_pseudoobscura,0.137791712,0.140340288,0.143566296,0.140319526,0.143530956,12.18,8.14,0.0012952,11973139.72,85286893.92,0.140319526,0.0010698,10006541.65,76825883.85,0.143530956,0.001757245,1249160.956,8913971.091,0.131780054
Drosophila_ananassae,Drosophila_sechellia,0.121300308,0.105041184,0.124788593,0.10499581,0.124760355,12.18,6.95,0.0046319,12142810.76,84555942.53,0.10499581,0.002151,10261622.27,76814852.48,0.124760355,0.026528466,1119109.99,8056573.751,0.052805179
Drosophila_ananassae,Drosophila_simulans,0.120867333,0.123053104,0.122834444,0.123006074,0.12279708,12.18,5.48,0.0026146,12940963.41,84837824.89,0.123006074,0.0024428,11010184.36,77815912.84,0.12279708,0.001739646,978299.6896,7421105.26,0.130348507
Drosophila_ananassae,Drosophila_virilis,0.163554656,0.145094065,0.164067558,0.145073124,0.164027732,12.18,15.04,0.0009628,9674978.876,78042280.61,0.145073124,0.0004354,7618495.555,67782539.74,0.164027732,0.004029035,1645898.378,10601246.81,0.11123411
Drosophila_ananassae,Drosophila_willistoni,0.160456145,0.151648177,0.158824745,0.151601979,0.158782326,12.18,11,0.0006957,9099056.721,80069194.59,0.151601979,0.0005135,7721436.256,70719738.2,0.158782326,0.001617807,1098058.266,9659465.551,0.128223991
Drosophila_ananassae,Drosophila_yakuba,0.123644541,0.124715464,0.125186712,0.124706503,0.125172811,12.18,5.91,0.0023347,12215914.81,84425266.77,0.124706503,0.0021384,10396537.18,77146799.32,0.125172811,0.001978722,979458.5057,7629536.416,0.125988061
Drosophila_biarmipes,Drosophila_ananassae,0.122385255,0.110354807,0.109153883,0.110346793,0.109154742,5.74,12.18,0.003717,12358261.17,88965023.83,0.110346793,0.0036058,10537413.67,81501577.12,0.109154742,0.002227423,980635.1172,7810128.738,0.122022358
