query_seq,closest_neighbor,min_dist,neighborhood_mean,neighborhood_median
G000005825,"['G000292245', 'G000513115']",0.197292,0.2354257,0.2369355
G000006175,['G000179575'],0.243761,0.2676877,0.263022
G000006605,['G000069945'],0.178173,0.2127933,0.21089699999999997
G000006725,['G000576405'],0.156619,0.21747139999999998,0.219531
G000006745,"['G000763535', 'G001558415']",0.203604,0.2146188,0.219531
G000006785,['G001638255'],0.0200822,0.16852129999999998,0.19173099999999998
G000006845,['G000008805'],0.0383209,0.13969136,0.143708
G000006865,['G000269945'],0.203604,0.2342849,0.2369355
G000006925,['G000299455'],0.0208145,0.07488515999999999,0.031842949999999995
G000006965,['G000017145'],0.129604,0.1843262,0.1945115
G000006985,['G000020505'],0.133864,0.2448937,0.263022
G000007005,['G900079115'],0.00334352,0.034571669,0.008099185000000002
G000007025,['G000283595'],0.0189299,0.04547183,0.0539711
G000007085,['G000473865'],0.0168963,0.14481463,0.1699975
G000007105,['G000303025'],0.00014350299999999998,0.1230669703,0.019698
G000007145,['G001908775'],0.10848699999999999,0.1427835,0.15086149999999998
G000007185,"['G000011205', 'G000016765', 'G000025285', 'G000092185', 'G000148385', 'G000166095', 'G000190315', 'G000243315', 'G000251105', 'G000312105', 'G000422625', 'G000426445', 'G000427665', 'G000565255', 'G000619965', 'G000626675', 'G000633415', 'G000687875', 'G000789255', 'G000961135', 'G001006045', 'G001040865', 'G001315985', 'G001316005', 'G001316025', 'G001316145', 'G001316245', 'G001316265', 'G001316285', 'G001429505', 'G001613465', 'G001748385', 'G001766815', 'G001787805', 'G001789155', 'G001871415', 'G900104485']",0.295981,0.295981,0.295981
G000007205,"['G000008745', 'G001007025', 'G001007045', 'G001007065', 'G001007085', 'G001007105', 'G001007145']",0.000361208,0.00040542810000000003,0.000361208
G000007225,['G000016385'],0.219531,0.278453,0.295981
G000007265,['G000006785'],0.164662,0.1834631,0.182467
G000007305,['G000275605'],0.000264084,0.2252866084,0.243761
G000007325,['G001854465'],0.0690061,0.20336991,0.243761
G000007345,['G000970125'],0.0766828,0.1253537,0.131177
G000007365,['G000225445'],0.161822,0.1996348,0.203604
G000007385,['G001705565'],0.10765799999999999,0.1522464,0.161822
G000007465,['G000229705'],0.00614558,0.026128217999999998,0.008250895000000001
G000007485,"['G000568795', 'G000613345', 'G000729985', 'G001794025']",0.263022,0.2827974,0.295981
G000007525,['G001025175'],0.10684500000000001,0.1715696,0.18226900000000001
G000007565,['G000026105'],0.129604,0.1573441,0.156619
G000007605,['G000009945'],0.13694800000000001,0.1397584,0.140258
G000007625,['G000612845'],0.23010999999999998,0.25395249999999997,0.263022
G000007645,['G000245655'],0.00249129,0.011445074,0.007221135
G000007705,['G000812585'],0.102997,0.1785588,0.187
G000007725,['G000007365'],0.197292,0.22131109999999998,0.219531
G000007745,['G900110905'],0.011756399999999998,0.21116404,0.243761
G000007765,['G000017105'],0.00492718,0.266875618,0.295981
G000007785,['G000648175'],0.014507599999999999,0.13105144999999999,0.1920265
G000007805,['G000012245'],0.11478,0.18110169999999998,0.18676099999999998
G000007825,['G001420855'],0.0284967,0.11691894,0.09408885
